cod_admon,nomb_admon
adm1,_
adm2,GOBIERNO DEPARTAMENTAL DE ANTIOQUIA
adm3,Asamblea Departamental del Magdalena
adm4,TELECOM
adm5,Presidencia de la República
adm6,Congreso de Colombia
adm7,Asamblea Departamental de Santander
adm8,Comando del Ejército Nacional
adm9,Congreso de la República
adm10,Asamblea Departamental de Cundinamarca
adm11,GOBIERNO DEPARTAMENTAL
adm12,MINISTERIO DE EDUCACION NACIONAL
adm13,Gobierno Nacional
adm14,Ministerio de Defensa
adm15,GOBIERNO DEPARTAMENTAL DEL QUINDIO.
adm16,Consejo Superior Universitario
adm17,ICFES.
adm18,GOBIERNO DEPARTAMENTAL DEL VALLE
adm19,MINISTERIO DE JUSTICIA.
adm20,GOBERNACION DEL ATLANTICO
adm21,Concejo Municipal de Armenia.
adm22,Consejo Directivo
adm23,Concejo Municipal de Tulua.
adm24,MINISTERIO DE EDUCACI¿N NACIONAL
adm25,GOBERNACION DEL VALLE
adm26,SIN DATO
adm27,Gobierno Nacional.
adm28,GOBERNACION DEL ATLANTICO.
adm29,Presidencia de la Repúiblica
adm30,Gobierno Departamental de Antioquia
adm31,Asamblea Departamental de Bolivar.
adm32,Gobernaci¿n del Norte de Santander
adm33,Ministerio de Gobierno
adm34,Congreso de la Republica
adm35,GOBIERNO DEPARTAMENTAL DE SANTANDER
adm36,Asamblea Departamental del Atlantico
adm37,Consejo de Fundadores de la UNISANPABLO.
adm38,ASAMBLEA GENERAL
adm39,CONGRESO DE COLOMBIA
adm40,CONGRESO DE LA REPUBLICA
adm41,Asamblea Departamental de Antioquia
adm42,MINISTERIO DE GOBIERNO.
adm43,Congreso
adm44,Concejo Municipal
adm45,GOBERNACION DEL DEPARTAMENTO DE BOLIVAR
adm46,Concejo Municipal de Envigado.
adm47,Congreso de la Republica.
adm48,Ministerio de Educaci¿n Nacional
adm49,MINISTERIO DE GOBIERNO
adm50,Gobernacion Departamental de Antioquia
adm51,Gobernacion Departamental de Santander
adm52,Ministerio de Educacion Nacional
adm53,GOBIERNO DEPARTAMENTAL DE SANTANDER.
adm54,Gobernacion de Santander
adm55,Comando del Ej¿rcito Nacional
adm56,Asamblea Departamental de Caldas
adm57,GOBERNACION DEPARTAMENTO DEL ATLANTICO
adm58,MINISTERIO DE EDUCACION NACIONAL.
adm59,MINISTERIO DE EDUCACION
adm60,Gobierno Departamental de la Guajira
adm61,Asamblea Departamental del Tolima
adm62,Ministerio de Educacion Nacional.
adm63,Asamblea Departamental del Valle
adm64,MINISTERIO DE JUSTICIA
adm65,Concejo Municipal de Cali.
adm66,Gobernaci¿n de Nari¿o
adm67,Asamblea
adm68,Ministerio de Educación Nacional
adm69,Honorable Consejo Superior de Envigado.
adm70,el Libertador Sim¿n Bolivar
adm71,Asamblea Departamental de Sucre
adm72,ARQUIDIOCESIS DE MANIZALES
adm73,Asamblea del Tolima.
adm74,Gobierno Departamental de Nari¿o
adm75,Ministerio de Justicia
adm76,Asamblea Departamental de Cundinamarca.
adm77,CONGRESO
adm78,Ministerio de Defensa.
adm79,Gobernaci¿n Departamento del Atl¿ntico
adm80,Congreso de Colombia.
