cod_nombram,nomb_nombram
no1,"Acuerdo 06, Consejo De Fundadores"
no2,"Acta 10, Consejo Directivo"
no3,"Acta 28, Consejo Superior"
no4,"Acuerdo 001, Consejo Superior"
no5,"Acuerdo 05, Consejo Superior"
no6,"Acta 029, Sala De Gobierno"
no7,"Acuerdo C.S. 716, Consejo"
no8,"Acta 01, Asamblea"
no9,"Acuerdo C.S. 6, Consejo Superior"
no10,"Acuerdo 23, Consejo Superior"
no11,"Resolución 03, Superiora Provincial"
no12,"Acuerdo C.D. 282, Consejo Directivo"
no13,"Acuerdo 004, Asamblea De Fundadores"
no14,"Acuerdo 007, Consejo Directivo"
no15,"Acta 001, Asamblea General"
no16,"Decreto CA-01, Canciller"
no17,"Acta 14, Sala General"
no18,"Resolución 048, Rectoria"
no19,"Acta ACTA, Sala General"
no20,"Acuerdo 304, Consejo De Fundadores"
no21,"Resolución 066, Consejo Superior"
no22,"Acta C.S. 03, Consejo"
no23,"Acuerdo 5344, Consejo Superior"
no24,"Acta C.S. 02, Consejo Superior Universitario"
no25,"Resoluc C.S. 22, Consejo Superior"
no26,"Acuerdo C.D. 03, Consejo Directivo"
no27,"Acuerdo 022019, Asamblea De Fundadores"
no28,"Acta 026, Consejo Directivo"
no29,"Resolución 02171, Ministerio De Transporte"
no30,"Decreto 2597, Gobierno Nacional"
no31,"Acta 31, Consejo"
no32,"Acuerdo C.S. 341, Consejo Superior"
no33,"Resoluc C.S. 2, Consejo Superior"
no34,"Acta 011, Asamblea Consejo De Fundadores"
no35,"Resoluc C.D. 1414, Consejo Directivo"
no36,"Acta 086, Asamblea"
no37,"Acta 197, Junta De Fundadores"
no38,"Acuerdo 012, Consejo Municipal"
no39,"Acta C.S. 389, Consejo Superior"
no40,"Acuerdo 034, Consejo Superior"
no41,"Acuerdo C.S. 079, Consejo Superior"
no42,"Resolución 0-0147, Fiscalia General De La Nacion"
no43,"Resolución 020, Canciller"
no44,"Acta 0005-A, Asamblea De Corporados"
no45,"Acuerdo C.S. 016, Consejo Superior"
no46,"Acta 40, Asamblea General"
no47,"Resoluc C.S. 08, Consejo Superior"
no48,"Acta 163, Sala General"
no49,"Acta 567, Junta Directiva"
no50,"Asamblea General 089, Asamblea General"
no51,"Acuerdo C.S. 686, Consejo Superior"
no52,"Resolución 004, Canciller"
no53,"Acuerdo 006, Consejo Directivo"
no54,"Acta 05-21, Consejo Superior"
no55,"Acuerdo 16, Consejo Directivo"
no56,"Resolución 0854, Secretaria General"
no57,"Acta C.D. 247-22, Comite Directivo"
no58,"Resolución 001, Asamblea General"
no59,"Acta 083, Asamblea General"
no60,"Acuerdo 01, Asamblea Fundadores"
no61,"Resoluc C.S. 3, Consejo Superior"
no62,"Acto Administrativo 193, Claustro De Gobierno"
no63,"Decreto 1106, Arquidiocesis De Cali"
no64,"Acuerdo 006, Consejo Superior"
no65,"Acuerdo 346, Consejo De Fundadores"
no66,"Acta AG003, Asamblea"
no67,"Acta 87, Sala De Fundadores"
no68,"Acuerdo 028, Sala General"
no69,"Acuerdo 011, Asamblea De Fundadores Y Miembros Emeritos"
no70,"Acta 470, Consejo Directivo"
no71,"Acta C.D. 618, Consejo Directivo"
no72,"Acta 98, Consejo Superior"
no73,"Acuerdo C.S. 22, Consejo Superior Universitario"
no74,"Resolución 02, Consejo Superior Universitario"
no75,"Acuerdo 002, Consejo De Fundadores"
no76,"Acuerdo 018, Consejo Directivo"
no77,"Acuerdo 008, Consejo Superior Universitario"
no78,"Acta C.S. 14, Consejo Superior"
no79,"Acuerdo C.S. 037, Consejo Superior"
no80,"Acuerdo 173, Sala General"
no81,"Acuerdo C.S. CS 099, Consejo Superior"
no82,"Acta 93, Consejo De Direccion"
no83,"Acta 021, Consejo Directivo"
no84,"Acuerdo 020, Asamblea De Fundadores"
no85,"Acta C.S. 55-22, Consejo Superior"
no86,"Acuerdo C.S. 05, Consejo Superior"
no87,"Acuerdo C.S. 35, Consejo Superior Universitario"
no88,"Acuerdo 001, Asamblea De Fundadores"
no89,"Acta 004, Asamblea"
no90,"Acuerdo C.D. 028, Consejo Directivo"
no91,"Acta C.S. 05-01, Consejo Superior"
no92,"Acta 13, Consejo Superior"
no93,"Acuerdo 003, Asamblea General"
no94,"Acuerdo 006, Asamblea General"
no95,"Resoluc C.S. 27, Consejo Superior"
