codigo_ies_padre,nomb_inst,cod_sector,cod_academ
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,se1,ca1
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,se1,ca1
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,se1,ca1
1110,UNIVERSIDAD DEL CAUCA,se1,ca1
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,se1,ca1
1112,UNIVERSIDAD DE CALDAS,se1,ca1
1113,UNIVERSIDAD DE CORDOBA,se1,ca1
1114,UNIVERSIDAD SURCOLOMBIANA,se1,ca1
1115,UNIVERSIDAD DE LA AMAZONIA,se1,ca1
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,se1,ca1
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,se1,ca1
1119,UNIVERSIDAD DE LOS LLANOS,se1,ca1
1120,UNIVERSIDAD POPULAR DEL CESAR,se1,ca1
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,se1,ca1
1122,UNIVERSIDAD DEL PACIFICO,se1,ca1
1201,UNIVERSIDAD DE ANTIOQUIA,se1,ca1
1202,UNIVERSIDAD DEL ATLANTICO,se1,ca1
1203,UNIVERSIDAD DEL VALLE,se1,ca1
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,se1,ca1
1205,UNIVERSIDAD DE CARTAGENA,se1,ca1
1206,UNIVERSIDAD DE NARIÑO,se1,ca1
1207,UNIVERSIDAD DEL TOLIMA,se1,ca1
1208,UNIVERSIDAD DEL QUINDIO,se1,ca1
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,se1,ca1
1212,UNIVERSIDAD DE PAMPLONA,se1,ca1
1213,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,se1,ca1
1214,UNIVERSIDAD DE CUNDINAMARCA-UDEC,se1,ca1
1217,UNIVERSIDAD DE SUCRE,se1,ca1
1218,UNIVERSIDAD DE LA GUAJIRA,se1,ca1
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,se1,ca1
1701,PONTIFICIA UNIVERSIDAD JAVERIANA,se2,ca1
1703,UNIVERSIDAD INCCA DE COLOMBIA,se2,ca1
1704,UNIVERSIDAD SANTO TOMAS,se2,ca1
1706,UNIVERSIDAD EXTERNADO DE COLOMBIA,se2,ca1
1707,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,se2,ca1
1709,UNIVERSIDAD CENTRAL,se2,ca1
1710,UNIVERSIDAD PONTIFICIA BOLIVARIANA,se2,ca1
1711,UNIVERSIDAD DE LA SABANA,se2,ca1
1712,UNIVERSIDAD EAFIT-,se2,ca1
1713,UNIVERSIDAD DEL NORTE,se2,ca1
1714,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,se2,ca1
1715,FUNDACION UNIVERSIDAD DE AMERICA,se2,ca1
1718,UNIVERSIDAD DE SAN BUENAVENTURA,se2,ca1
1719,UNIVERSIDAD CATOLICA DE COLOMBIA,se2,ca1
1720,UNIVERSIDAD MARIANA,se2,ca1
1722,UNIVERSIDAD DE MANIZALES,se2,ca1
1725,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,se2,ca1
1726,UNIVERSIDAD CATOLICA DE ORIENTE -UCO,se2,ca1
1728,UNIVERSIDAD SERGIO ARBOLEDA,se2,ca1
1729,UNIVERSIDAD EL BOSQUE,se2,ca1
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,se2,ca1
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,se2,ca1
1801,UNIVERSIDAD LA GRAN COLOMBIA,se2,ca1
1803,UNIVERSIDAD DE LA SALLE,se2,ca1
1804,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,se2,ca1
1805,UNIVERSIDAD SANTIAGO DE CALI,se2,ca1
1806,UNIVERSIDAD LIBRE,se2,ca1
1812,UNIVERSIDAD DE MEDELLIN,se2,ca1
1813,UNIVERSIDAD DE LOS ANDES,se2,ca1
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,se2,ca1
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,se2,ca1
1818,UNIVERSIDAD COOPERATIVA DE COLOMBIA,se2,ca1
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,se2,ca1
1824,UNIVERSIDAD METROPOLITANA,se2,ca1
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,se2,ca1
